kappa,FCR,rg,Prediction
0.565466821,0.32,22.87912607,Baja
0.541504681,0.56,21.15295172,Baja
0.574462563,0.54,22.13845491,Baja
0.552648067,0.33,22.96906948,Baja
0.577540547,0.58,19.68993664,Baja
0.548128098,0.36,25.22190332,Alta
0.567427307,0.6,23.75950336,Baja
0.581012875,0.61,21.37893677,Baja
0.580310434,0.96,19.32482839,Baja
0.545895219,0.94,19.85451221,Baja
0.550181121,0.96,24.76402521,Baja
0.549345434,0.89,19.53082323,Baja
0.572814077,0.6,20.76262236,Baja
0.584504306,0.98,20.34193516,Baja
0.58156693,0.77,21.51862144,Baja
0.585680425,0.37,21.72498703,Baja
0.566607445,0.73,22.7411437,Baja
0.574094385,0.87,25.97685337,Baja
0.561018825,0.55,25.72805405,Baja
0.56369406,0.78,19.78114486,Baja
0.563005447,0.53,20.58200121,Baja
0.559494823,0.37,25.53417206,Alta
0.574105144,0.96,18.77826095,Baja
0.580525309,0.31,26.78087234,Alta
0.562091708,0.53,24.82452393,Baja
0.580180943,0.41,22.07980156,Baja
0.567868948,0.84,19.98164177,Baja
0.562736869,0.99,20.66939592,Baja
0.564884067,0.36,30.24640083,Alta
0.578924835,0.35,29.59187508,Alta
0.571745455,0.32,23.04600716,Baja
0.567149937,0.96,19.09519196,Baja
0.569506764,0.88,19.63693142,Baja
0.58593291,0.8,19.76973653,Baja
0.598608196,0.78,23.42534542,Baja
0.586827099,0.51,23.66033077,Baja
0.602473199,0.42,23.12101841,Baja
0.572184145,0.58,19.89044189,Baja
0.595674247,0.62,21.56299591,Baja
0.587604284,0.61,19.79558229,Baja
0.592253298,0.31,25.43931961,Alta
0.579184771,0.61,21.60181046,Baja
0.599603593,0.92,21.99869156,Baja
0.597094297,0.67,20.97342014,Baja
0.618171573,0.54,19.66659188,Baja
0.594367296,0.89,20.99937916,Baja
0.610415727,0.64,27.07721233,Baja
0.6082412,0.5,20.79402685,Baja
0.608248442,0.56,22.77549028,Baja
0.60293746,0.36,22.09734917,Baja
0.608032733,0.54,20.55015326,Baja
0.608800203,0.93,18.53602171,Baja
0.604534715,0.96,21.48106575,Baja
0.613613844,0.44,20.68946838,Baja
0.609185725,0.64,19.42594171,Baja
0.609460145,0.41,22.78213024,Baja
0.606986374,0.92,20.69336653,Baja
0.613966465,0.57,19.34697628,Baja
0.621659487,0.38,23.82785559,Baja
0.60578239,0.51,25.84365368,Baja
0.614972174,0.21,26.5019083,Alta
0.623533428,0.6,20.08099556,Baja
0.622877628,0.21,26.30827188,Alta
0.608692408,0.4,20.47050238,Baja
0.627582848,0.78,20.31179905,Baja
0.62591058,0.47,21.09419107,Baja
0.626522034,0.83,19.72142935,Baja
0.61214599,0.89,21.11609221,Baja
0.613064021,0.39,23.98030758,Baja
0.629814893,0.63,20.36397219,Baja
0.627940297,0.51,24.32220459,Baja
0.620831311,0.32,27.22064495,Alta
0.623377293,0.57,23.18732023,Baja
0.637409836,0.77,19.11675692,Baja
0.632134199,0.78,19.33290362,Baja
0.621258169,0.91,21.88790798,Baja
0.626387358,0.49,19.48913336,Baja
0.634468555,0.62,20.46197176,Baja
0.626360834,0.63,20.34820557,Baja
0.634174764,0.43,21.37321711,Baja
0.640437603,0.79,20.976367,Baja
0.640352249,1,20.03543854,Baja
0.642907739,0.51,21.65762901,Baja
