Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
55,1,1.018250096,1.081867008,1.130811535,1.212821059,1.267720774,1.274558112
56,0.999999933,1.083941829,1.176754753,1.323522806,1.448199567,1.453346801,1.381250941
57,1,1.052097233,1.110983,1.183765222,1.298437667,1.335683222,1.298374111
58,1.000000011,1.030651444,1.175958556,1.279659556,1.413210889,1.511165667,1.631488889
59,1.0000001,1.050665733,1.080252333,1.118249911,1.110274778,1.124111222,1.211905222
60,0.999999933,1.006381733,1.048474111,1.097984111,1.129905333,1.131403,1.122332
61,0.9999999,1.008952967,1.109758,1.153738111,1.237119333,1.297841556,1.267383222
62,1.000000022,1.0760138,1.131729111,1.211033444,1.337708333,1.363442,1.440252444
63,1.000000033,1.082901333,1.072413467,1.141156111,1.191095556,1.235994556,1.246569889
64,0.9999999,1.085871178,1.263235778,1.414463333,1.505783,1.585781667,1.634945444
65,0.999999922,1.062567,1.122020556,1.191495444,1.244313556,1.301867,1.291134556
66,1.000000011,1.036565011,1.080444667,1.150394444,1.214082667,1.255090556,1.115743478
67,0.999999944,1.052832267,1.060376111,1.089084111,1.113099822,1.096465111,1.005659744
68,1.000000011,1.0069828,1.033089567,1.064277044,1.088331222,1.10384,1.092622333
69,1.000000022,1.066323,1.138909111,1.213012778,1.265081444,1.323161222,1.309124
70,1,1.077353889,1.085132222,1.179337556,1.227828,1.266672444,1.347578222
71,1.000000022,1.047976889,1.138949778,1.203297667,1.249454778,1.291695667,1.352984889
72,0.999999944,1.044422633,1.121291333,1.205148333,1.257795,1.264332667,1.333394778
73,0.999999989,1.059109956,1.125110111,1.225219333,1.227277333,1.253452333,1.295424222
74,1.000000033,1.029653944,1.066603889,1.110714,1.200329778,1.238709778,1.279400222
75,1.000000033,1.037366156,1.062599922,1.118365222,1.128441778,1.179136222,1.172584889
77,0.999999967,1.0378863,1.16052,1.138703778,1.255974,1.230235778,1.283749667
78,1.000000067,1.040725222,1.079018222,1.130551889,1.162458889,1.193130111,1.184017778
79,0.999999967,1.067427889,1.120274111,1.114560222,1.238476889,1.297622222,1.328520222
81,1.000000078,1.077490889,1.173872778,1.346277333,1.479395556,1.593152333,1.564446111
82,1.000000133,1.0248466,1.072312,1.149096556,1.248112333,1.290197111,1.252874444
83,1.000000067,1.032675556,1.095367333,1.165484333,1.212800333,1.307795222,1.329111111
84,1,1.0496287,1.115907,1.209533667,1.310472444,1.359426222,1.371998667
85,0.999999978,1.0463478,1.175972556,1.368115889,1.564467889,1.640370444,1.616310444
86,1.000000044,1.072739667,1.166246778,1.272623333,1.342072333,1.399882222,1.421754667
88,1.000000011,1.045877133,1.105891789,1.188386667,1.271069667,1.297521556,1.290929667
89,0.999999967,1.020134267,1.108807333,1.210346333,1.335722778,1.414471111,1.420285778
90,1.000000044,1.051943978,1.097274778,1.185882667,1.316512778,1.341428111,1.399125444
94,0.999999944,1.050081156,1.0566121,1.061778033,1.145671333,1.156509778,1.095559967
95,1.000000033,1.053989378,1.095573444,1.112174544,1.135244,1.187030667,1.083893111
96,1.000000122,1.072950189,1.155481889,1.266778556,1.346983556,1.406518556,1.391917333
