Construct,NaCl_0,NaCl_200,NaCl_400,NaCl_600,NaCl_800,NaCl_1000,NaCl_1500
192,0.838058889,0.890904889,0.978812522,1.147807,1.2834,1.417912778,1.472068556
193,0.897811211,0.968907933,1.067414889,1.258448222,1.544205,1.728707889,1.832145222
194,0.7309755,0.736029322,0.801320233,0.892009378,0.970802633,1.026219389,0.972269656
195,0.701857644,0.700114011,0.700044644,0.775844178,0.823445744,0.844351444,0.856517367
196,0.760510111,0.793280756,0.843390622,0.915571611,1.001935756,1.075547111,1.115562444
197,0.789603844,0.829568556,0.911276156,1.015114978,1.117254,1.176534667,1.237381778
198,0.777569044,0.802469156,0.850691344,0.919169844,1.018830211,1.094998889,1.114114222
199,0.883171444,0.927966267,1.026717733,1.145372444,1.308576111,1.435253667,1.529628111
200,0.802558911,0.831582733,0.892679211,1.003936456,1.140261333,1.194780111,1.213134778
201,0.6737923,0.691738444,0.764122089,0.851249133,0.947274822,0.982038467,0.972047511
